Sr_No,Application Name,Customer Initiated Transactions in Volume (Mn),Customer Initiated Transactions in Value (Cr),B2C Transactions in Volume (Mn),B2C Transactions in Value (Cr),B2B Transactions in Volume (Mn),B2B Transactions in Value (Cr),On-us Transactions in Volume (Mn),On-us Transactions in Value (Cr),Total in Volume (Mn),Total in Value (Cr),Date
52075,IDBI Bank Apps,0.06,31.69,0,0,0,0,0,0,0.06,31.69,Aug-23
52099,INDIE,0.05,12.6,0,0,0,0,0,0,0.05,12.6,Aug-23
52060,Bank of Maharashtra Apps,0.05,8.18,0,0,0,0,0,0,0.05,8.18,Aug-23
52061,Karur Vysya Bank Apps,0.05,16.11,0,0,0,0,0,0,0.05,16.11,Aug-23
52063,MakeMyTrip,0.04,20.49,0,0,0,0,0,0,0.04,20.49,Aug-23
52041,Shriram One,0.04,2.33,0,0,0,0,0,0,0.04,2.33,Aug-23
52062,Equitas Small Finance Bank Apps,0.03,19.23,0,0,0,0,0,0,0.03,19.23,Aug-23
52059,NSDL Payments Bank Apps,0.03,5.39,0,0,0,0,0,0,0.03,5.39,Aug-23
52065,Allahabad Bank Apps,0.03,7.81,0,0,0,0,0,0,0.03,7.81,Aug-23
52085,Punjab Sind Bank Apps,0.03,12.74,0,0,0,0,0,0,0.03,12.74,Aug-23
52049,DHANI,0.03,4.2,0,0,0,0,0,0,0.03,4.2,Aug-23
52095,Utkarsh Small Finance Bank Apps,0.02,6.67,0,0,0,0,0,0,0.02,6.67,Aug-23
52091,Jammu and Kashmir Bank Apps,0.01,2.8,0,0,0,0,0,0,0.01,2.8,Aug-23
52053,DIGIKHATA,0.01,3.81,0,0,0,0,0,0,0.01,3.81,Aug-23
52104,ZOICICI,0.01,1,0,0,0,0,0,0,0.01,1,Aug-23
52101,Dhanlaxmi Bank Apps,0.01,3.02,0,0,0,0,0,0,0.01,3.02,Aug-23
52102,GoIbibo,0.01,2.99,0,0,0,0,0,0,0.01,2.99,Aug-23
52105,SURYODAY,0.01,0.03,0,0,0,0,0,0,0.01,0.03,Aug-23
52106,Bandhan Bank Apps,0.01,0.87,0,0,0,0,0,0,0.01,0.87,Aug-23
52086,Others,0.03,8.45,0,0,0,0.01,0,0,0.03,8.46,Aug-23
52001,PhonePe,4743.66,761247.87,0,0,0,0,0,0,4743.66,761247.87,Jul-23
52002,Google Pay,3494.64,518095.1,0,0,0,0,0,0,3494.64,518095.1,Jul-23
52067,Paytm Payments Bank App,1278.96,147723.3,1.4,4.19,0.57,887.53,112.74,22152.33,1393.66,170767.35,Jul-23
52004,Cred,80.34,30999.71,0,0,0,0,0,0,80.34,30999.71,Jul-23
52005,Axis Bank Apps,9.77,1767.83,54.52,1447.04,0.01,2.16,0,0,64.3,3217.03,Jul-23
52006,Amazon Pay,57.6,6163.84,0,0,0,0,0,0,57.6,6163.84,Jul-23
52007,ICICI Bank Apps,24.47,8077.88,4.14,312.8,7.31,9379.69,0,0,35.92,17770.37,Jul-23
52013,Yes Bank Apps,31.53,11419.73,0,0,0.48,83.07,0,0,32.01,11502.79,Jul-23
52012,BHIM,24.94,8244.91,0,0,0,0,0,0,24.94,8244.91,Jul-23
52009,Kotak Mahindra Bank Apps,18.56,3480.59,0,0,0,0.01,0,0,18.56,3480.6,Jul-23
52011,WhatsApp,17.84,1598.67,0,0,0,0,0,0,17.84,1598.67,Jul-23
52010,HDFC Bank Apps,17.77,4410.51,0,0,0,0,0,0,17.77,4410.51,Jul-23
52008,Fampay,16.79,206.43,0,0,0,0,0,0,16.79,206.43,Jul-23
52015,Bajaj Finserv,12.11,1740.97,0,0,0,0,0,0,12.11,1740.97,Jul-23
52014,Airtel Payments Bank Apps,9.65,665.97,0,0,0,0.01,0,0.07,9.65,666.04,Jul-23
52021,Samsung Pay,5.81,544.13,0,0,0,0,0,0,5.81,544.13,Jul-23
52017,India Post Payments Bank Apps,5.43,587.75,0,0,0,0,0,0,5.43,587.75,Jul-23
52025,Federal Bank Apps,5.19,665.11,0,0,0,0,0,0,5.19,665.11,Jul-23
52019,State Bank of India Apps,4.99,2094.63,0,0,0.02,0.52,0,0,5.01,2095.15,Jul-23
52020,IDFC Bank Apps,4.17,1121.41,0,0,0,0,0,0,4.17,1121.41,Jul-23
52048,Standard Chartered Bank Apps,3.54,1606.29,0,0,0.6,523.09,0,0,4.14,2129.38,Jul-23
52016,Mobikwik,3.79,1140.63,0,0,0,0,0,0,3.79,1140.63,Jul-23
52022,Jupiter,3.27,466.39,0,0,0,0,0,0,3.27,466.39,Jul-23
52018,Groww,2.81,2075.98,0,0,0,0,0,0,2.81,2075.98,Jul-23
52024,Deutsche Bank Apps,1.83,175.5,0,0,0,0.02,0,0,1.83,175.52,Jul-23
52026,Canara Bank Apps,1.73,514.02,0,0,0,0,0,0,1.73,514.02,Jul-23
52103,Kiwi,1.53,52.51,0,0,0,0,0,0,1.53,52.51,Jul-23
52036,Bank of Baroda Apps,1.34,477.16,0,0,0,0,0,0,1.34,477.16,Jul-23
52029,Jio Payments Bank Apps,1.34,114.12,0,0,0,0,0,0,1.34,114.12,Jul-23
52031,RBL Bank Apps,1.13,523.22,0,0.01,0.14,6.35,0,0,1.28,529.58,Jul-23
52028,slice,0.94,301,0,0,0,0,0,0,0.94,301,Jul-23
52034,Union Bank Apps,0.88,349.19,0,0,0,0,0,0,0.88,349.19,Jul-23
52044,IndusInd Bank Apps,0.84,723.32,0,0,0,0,0,0,0.84,723.32,Jul-23
52032,Punjab National Bank Apps,0.79,181.5,0,0,0,0,0,0,0.79,181.5,Jul-23
52038,AU Small Finance Bank Apps,0.68,209.86,0,0,0,0,0,0,0.68,209.86,Jul-23
52035,Omnicard,0.62,19.49,0,0,0,0,0,0,0.62,19.49,Jul-23
52051,Karnataka Bank Apps,0.61,124.34,0,0,0,0,0,0,0.61,124.34,Jul-23
52040,DBS Digibank Apps,0.44,179.34,0,0,0,0.37,0,0,0.44,179.72,Jul-23
52037,Central Bank of India Apps,0.44,97.52,0,0,0,0.23,0,0,0.44,97.75,Jul-23
52050,UCO Bank Apps,0.36,116.31,0,0,0,0,0,0,0.36,116.31,Jul-23
52030,Indian Bank Apps,0.31,92.29,0,0,0,0.35,0,0,0.31,92.64,Jul-23
52042,South Indian Bank Apps,0.25,73.83,0,0,0,0,0,0,0.25,73.83,Jul-23
52047,Bank of India Apps,0.25,78.83,0,0,0,0,0,0,0.25,78.83,Jul-23
52043,Fino Payments bank Apps,0.17,13.36,0,0,0,0,0,0,0.17,13.36,Jul-23
52045,HSBC Bank Apps,0.16,96.44,0,0.08,0,0,0,0,0.16,96.52,Jul-23
52082,Fave,0.12,7.56,0,0,0,0,0,0,0.12,7.56,Jul-23
52087,Bajaj Finserv PPI,0.11,25.8,0,0,0,0,0,0,0.11,25.8,Jul-23
52046,TataNeu,0.1,16.7,0,0,0,0,0,0,0.1,16.7,Jul-23
52055,Tamilnad Mercantile Bank Apps,0.1,23.5,0,0,0,0,0,0,0.1,23.5,Jul-23
52075,IDBI Bank Apps,0.07,37.4,0,0,0,0,0,0,0.07,37.4,Jul-23
52057,Citi Bank Apps,0.07,61.36,0,0,0,0,0,0,0.07,61.36,Jul-23
52056,Ultracash,0.07,5.01,0,0,0,0,0,0,0.07,5.01,Jul-23
52058,City Union Bank Apps,0.07,20.96,0,0,0,0,0,0,0.07,20.96,Jul-23
52054,Indian Overseas Bank Apps,0.07,18.01,0,0,0,0,0,0,0.07,18.01,Jul-23
52061,Karur Vysya Bank Apps,0.04,16.34,0,0,0,0,0,0,0.04,16.34,Jul-23
52063,MakeMyTrip,0.04,19.92,0,0,0,0,0,0,0.04,19.92,Jul-23
52049,Dhani,0.03,7.81,0,0,0,0,0,0,0.03,7.81,Jul-23
52062,Equitas Small Finance Bank Apps,0.03,18.9,0,0,0,0,0,0,0.03,18.9,Jul-23
52060,Bank of Maharashtra Apps,0.03,5.66,0,0,0,0,0,0,0.03,5.66,Jul-23
52065,Allahabad Bank Apps,0.03,8.73,0,0,0,0,0,0,0.03,8.73,Jul-23
52085,Punjab Sind Bank Apps,0.03,12.72,0,0,0,0,0,0,0.03,12.72,Jul-23
52059,NSDL Payments Bank Apps,0.03,4.56,0,0,0,0,0,0,0.03,4.56,Jul-23
52095,Utkarsh Small Finance Bank Apps,0.02,6.24,0,0,0,0,0,0,0.02,6.24,Jul-23
52092,Mobikwik PPI,0.02,3.63,0,0,0,0,0,0,0.02,3.63,Jul-23
52091,Jammu and Kashmir Bank Apps,0.01,2.29,0,0,0,0,0,0,0.01,2.29,Jul-23
52107,Zomato,0.01,0.66,0,0,0,0,0,0,0.01,0.66,Jul-23
52101,Dhanlaxmi Bank Apps,0.01,2.87,0,0,0,0,0,0,0.01,2.87,Jul-23
52106,Bandhan Bank Apps,0.01,0.98,0,0,0,0,0,0,0.01,0.98,Jul-23
52100,Shriram,0.01,0.21,0,0,0,0,0,0,0.01,0.21,Jul-23
52086,Others,0.03,11.05,0,0,0,0,0,0,0.03,11.05,Jul-23
52001,PhonePe,"4,461.40","7,45,552.20",0,0,0,0,0,0,"4,461.36","7,45,552.20",Jun-23
52002,Google Pay,"3,266.80","4,94,088.00",0,0,0,0,0,0,"3,266.83","4,94,088.00",Jun-23
52067,Paytm Payments Bank App,"1,197.30","1,39,950.10",1.4,4.2,0.6,866.8,108.1,"21,673.70","1,307.48","1,62,494.80",Jun-23
52004,Cred,73.9,"26,431.80",0,0,0,0,0,0,73.93,"26,431.80",Jun-23
52006,Amazon Pay,52.9,"5,647.90",0,0,0,0,0,0,52.89,"5,647.90",Jun-23
52005,Axis Bank Apps,9.7,"1,692.70",37.9,537.1,0,1.9,0,0,47.64,"2,231.70",Jun-23
52007,ICICI Bank Apps,27.1,"8,599.30",4.8,338,5.7,"7,306.50",0,0,37.63,"16,243.70",Jun-23
52013,Yes Bank Apps,35.8,"12,721.80",0,0,0.7,275.6,0,0,36.46,"12,997.50",Jun-23
52012,BHIM,23.1,"7,289.00",0,0,0,0,0,0,23.11,"7,289.00",Jun-23
52010,HDFC Bank Apps,17.6,"4,168.60",0,0,0,0,0,0,17.56,"4,168.60",Jun-23
52009,Kotak Mahindra Bank Apps,17.4,"3,202.50",0,0,0,0,0,0,17.38,"3,202.50",Jun-23
52011,WhatsApp,16,"1,443.30",0,0,0,0,0,0,16,"1,443.30",Jun-23
52008,Fampay,15,184.7,0,0,0,0,0,0,14.99,184.7,Jun-23
52015,Bajaj Finserv,9.8,"1,312.60",0,0,0,0,0,0,9.76,"1,312.60",Jun-23
52014,Airtel Payments Bank Apps,8.8,632.1,0,0,0,0,0,0.1,8.84,632.2,Jun-23
52020,IDFC Bank Apps,6.3,"1,528.10",0,0,0,12.2,0,0,6.31,"1,540.30",Jun-23
52021,Samsung Pay,5.6,522.8,0,0,0,0,0,0,5.61,522.8,Jun-23
52025,Federal Bank Apps,4.9,630,0,0,0,0,0,0,4.86,630,Jun-23
52017,India Post Payments Bank Apps,4.8,742.5,0,0,0,0,0,0,4.83,742.5,Jun-23
52019,State Bank of India Apps,4.6,"1,959.30",0,0,0,0.4,0,0,4.64,"1,959.70",Jun-23
52016,Mobikwik,3.6,"1,060.40",0,0,0,0,0,0,3.58,"1,060.40",Jun-23
52022,Jupiter,3,424.8,0,0,0,0,0,0,2.96,424.8,Jun-23
52024,Deutsche Bank Apps,1.8,125.6,0,0,0,0,0,0,1.81,125.6,Jun-23
52026,Canara Bank Apps,1.6,462.7,0,0,0,0,0,0,1.58,462.7,Jun-23
52018,Groww,1.5,"1,039.60",0,0,0,0,0,0,1.45,"1,039.60",Jun-23
52048,Standard Chartered Bank Apps,1.2,522.6,0,0,0.2,150,0,0,1.4,672.6,Jun-23
52029,Jio Payments Bank Apps,1.4,113.2,0,0,0,0,0,0,1.35,113.2,Jun-23
52031,RBL Bank Apps,1.1,493.4,0,0,0.2,4.4,0,0,1.29,497.9,Jun-23
52036,Bank of Baroda Apps,1.2,427.6,0,0,0,0.1,0,0,1.19,427.7,Jun-23
52028,slice,0.9,272.8,0,0,0,0,0,0,0.88,272.8,Jun-23
52044,IndusInd Bank Apps,0.8,897.6,0,0,0,0,0,0,0.79,897.6,Jun-23
52034,Union Bank Apps,0.8,318.9,0,0,0,0,0,0,0.79,318.9,Jun-23
52032,Punjab National Bank Apps,0.8,169.7,0,0,0,0,0,0,0.77,169.7,Jun-23
52038,AU Small Finance Bank Apps,0.6,196.1,0,0,0,0,0,0,0.64,196.1,Jun-23
52051,Karnataka Bank Apps,0.6,125.9,0,0,0,0,0,0,0.61,125.9,Jun-23
52035,OmniCard,0.5,13.9,0,0,0,0,0,0,0.48,13.9,Jun-23
52037,Central Bank of India Apps,0.4,97.4,0,0,0,0.1,0,0,0.44,97.6,Jun-23
52040,DBS Digibank Apps,0.4,166.9,0,0,0,0,0,0,0.41,166.9,Jun-23
52050,UCO Bank Apps,0.3,107.6,0,0,0,0,0,0,0.33,107.6,Jun-23
52030,Indian Bank Apps,0.3,80.2,0,0,0,1.1,0,0,0.28,81.2,Jun-23
52042,South Indian Bank Apps,0.3,70.5,0,0,0,0,0,0,0.25,70.5,Jun-23
52047,Bank of India Apps,0.2,71.9,0,0,0,0,0,0,0.23,71.9,Jun-23
52073,Jupiter Edge (LivQuick PPI),0.2,11.3,0,0,0,0,0,0,0.21,11.3,Jun-23
52045,HSBC Bank Apps,0.2,89.1,0,0.1,0,0,0,0,0.15,89.2,Jun-23
52043,Fino Payments bank Apps,0.1,9.2,0,0,0,0,0,0,0.13,9.2,Jun-23
52046,TataNeu,0.1,17.6,0,0,0,0,0,0,0.12,17.6,Jun-23
52055,Tamilnad Mercantile Bank Apps,0.1,18.9,0,0,0,0,0,0,0.08,18.9,Jun-23
52075,IDBI Bank Apps,0.1,34.1,0,0,0,0,0,0,0.08,34.1,Jun-23
52057,Citi Bank Apps,0.1,54.2,0,0,0,0,0,0,0.07,54.2,Jun-23
52082,Fave,0.1,4.6,0,0,0,0,0,0,0.07,4.6,Jun-23
52087,Bajaj Finserv PPI,0.1,14.3,0,0,0,0,0,0,0.07,14.3,Jun-23
52108,PINELABS,0.1,4.2,0,0,0,0,0,0,0.07,4.2,Jun-23
52058,City Union Bank Apps,0.1,18.3,0,0,0,0,0,0,0.06,18.3,Jun-23
52103,Kiwi,0.1,4.1,0,0,0,0,0,0,0.05,4.1,Jun-23
52054,Indian Overseas Bank Apps,0,13,0,0,0,0,0,0,0.05,13,Jun-23
52056,Ultracash,0,3.1,0,0,0,0,0,0,0.04,3.1,Jun-23
52061,Karur Vysya Bank Apps,0,14,0,0,0,0,0,0,0.04,14,Jun-23
52063,MakeMyTrip,0,18.2,0,0,0,0,0,0,0.03,18.2,Jun-23
52085,Punjab Sind Bank Apps,0,12.6,0,0,0,0,0,0,0.03,12.6,Jun-23
52049,Dhani,0,7,0,0,0,0,0,0,0.03,7,Jun-23
52062,Equitas Small Finance Bank Apps,0,17.3,0,0,0,0,0,0,0.03,17.3,Jun-23
52065,Allahabad Bank Apps,0,8.3,0,0,0,0,0,0,0.03,8.3,Jun-23
52059,NSDL Payments Bank Apps,0,4.1,0,0,0,0,0,0,0.02,4.1,Jun-23
52109,GoNiyo PPI,0,0.5,0,0,0,0,0,0,0.02,0.5,Jun-23
52095,Utkarsh Small Finance Bank Apps,0,6.3,0,0,0,0,0,0,0.02,6.3,Jun-23
52091,Jammu and Kashmir Bank Apps,0,2.4,0,0,0,0,0,0,0.01,2.4,Jun-23
52106,Bandhan Bank Apps,0,3.1,0,0,0,0,0,0,0.01,3.1,Jun-23
52107,Zomato,0,1.7,0,0,0,0,0,0,0.01,1.7,Jun-23
52101,Dhanlaxmi Bank Apps,0,3.2,0,0,0,0,0,0,0.01,3.2,Jun-23
52060,Bank of Maharashtra Apps,0,0.8,0,0,0,0,0,0,0.01,0.8,Jun-23
52086,Others,0,11.8,0,0,0,0,0,0,0,11.8,Jun-23
52014,Airtel Payments Bank Apps,9.17,627.09,0,0,0,0,0,0.08,9.17,627.17,May-23
52065,Allahabad Bank Apps,0.03,8.87,0,0,0,0,0,0,0.03,8.87,May-23
52006,Amazon Pay,57.08,"5,772.68",0,0,0,0,0,0,57.08,"5,772.68",May-23
52038,AU Small Finance Bank Apps,0.65,193.87,0,0,0,0,0,0,0.65,193.87,May-23
52005,Axis Bank Apps,10.19,"1,697.23",37,217,0.03,3,0,0,47.38,"1,916.44",May-23
52015,Bajaj Finserv,9.12,"1,189.82",0,0,0,0,0,0,9.12,"1,189.82",May-23
52036,Bank of Baroda Apps,1.11,412.02,0,0,0,0,0,0,1.11,412.03,May-23
52047,Bank of India Apps,0.22,69.86,0,0,0,0,0,0,0.22,69.87,May-23
52012,BHIM,22.96,"7,209.87",0,0,0,0,0,0,22.96,"7,209.87",May-23
52070,BPAYWALLET,0.06,9.65,0,0,0,0,0,0,0.06,9.65,May-23
52026,Canara Bank Apps,1.48,431.27,0,0,0,0,0,0,1.48,431.27,May-23
52037,Central Bank of India Apps,0.43,95.52,0,0,0,0,0,0,0.43,95.58,May-23
52057,Citi Bank Apps,0.09,55.38,0,0,0,0,0,0,0.09,55.38,May-23
52058,City Union Bank Apps,0.06,20.02,0,0,0,0,0,0,0.06,20.02,May-23
52110,Cointab,0.01,4.24,0,0,0,0,0,0,0.01,4.24,May-23
52004,Cred,61.04,"23,426.74",0,0,0,0,0,0,61.04,"23,426.74",May-23
52040,DBS Digibank Apps,0.42,174.75,0,0,0,0,0,0,0.42,174.75,May-23
52024,Deutsche Bank Apps,1.89,174.25,0,0,0,0,0,0,1.89,174.27,May-23
52049,DHANI,0.04,7.55,0,0,0,0,0,0,0.04,7.55,May-23
52101,Dhanlaxmi Bank Apps,0.01,2.93,0,0,0,0,0,0,0.01,2.93,May-23
52062,Equitas Small Finance Bank Apps,0.03,16.31,0,0,0,0,0,0,0.03,16.31,May-23
52068,FAM,13.78,166.5,0,0,0,0,0,0,13.78,166.5,May-23
52082,Fave,0.02,1.68,0,0,0,0,0,0,0.02,1.68,May-23
52025,Federal Bank Apps,5.12,643.6,0,0,0,0,0,0,5.12,643.62,May-23
52043,Fino Payments bank Apps,0.09,6.6,0,0,0,0,0,0,0.09,6.6,May-23
52002,Google Pay,"3,274.69","4,97,748.17",0,0,0,0,0,0,"3,274.69","4,97,748.17",May-23
52018,Groww,0.47,287.97,0,0,0,0,0,0,0.47,287.97,May-23
52010,HDFC Bank Apps,16.07,"3,979.33",0,0,0,3,0,0,16.07,"3,982.69",May-23
52045,HSBC Bank Apps,0.14,87.42,0,0,0,0,0,0,0.14,87.5,May-23
52007,ICICI Bank Apps,33.59,"9,965.41",5.23,380,5.09,"6,755",0,0,43.92,"17,101.09",May-23
52075,IDBI Bank Apps,0.08,34.64,0,0,0,0,0,0,0.08,34.64,May-23
52020,IDFC Bank Apps,8.52,"1,688.60",0,0,0.04,7,0,0,8.56,"1,696.01",May-23
52017,India Post Payments Bank Apps,5.04,775.77,0,0,0,0,0,0,5.04,775.77,May-23
52030,Indian Bank Apps,0.28,80.31,0,0,0,4,0,0,0.28,84.07,May-23
52054,Indian Overseas Bank Apps,0.04,10.5,0,0,0,0,0,0,0.04,10.5,May-23
52044,IndusInd Bank Apps,0.81,886.1,0,0,0,0,0,0,0.81,886.1,May-23
52091,Jammu and Kashmir Bank Apps,0.01,2,0,0,0,0,0,0,0.01,2,May-23
52029,Jio Payments Bank Apps,1.56,119.8,0,0,0,0,0,0,1.56,119.8,May-23
52022,Jupiter,2.94,415.04,0,0,0,0,0,0,2.94,415.04,May-23
52111,Akudo & Muvin (Livquik),0.18,6.62,0,0,0,0,0,0,0.18,6.62,May-23
52051,Karnataka Bank Apps,0.63,127.13,0,0,0,0,0,0,0.63,127.13,May-23
52061,Karur Vysya Bank Apps,0.04,13.65,0,0,0,0,0,0,0.04,13.65,May-23
52009,Kotak Mahindra Bank Apps,16.31,"3,139.04",0,0,0,0,0,0,16.31,"3,139.05",May-23
52063,MakeMyTrip,0.02,8.01,0,0,0,0,0,0,0.02,8.01,May-23
52016,Mobikwik,3.59,997.92,0,0,0,0,0,0,3.59,997.92,May-23
52059,NSDL Payments Bank Apps,0.02,3.28,0,0,0,0,0,0,0.02,3.28,May-23
52096,OMNI,0.39,10.1,0,0,0,0,0,0,0.39,10.1,May-23
52067,Paytm Payments Bank App,"1,229.38","1,42,291.76",3.95,7,0.56,887,108.39,21658.48884,"1,342.28","1,64,843.79",May-23
52001,PhonePe,"4,499.20","7,57,276.68",0,0,0,0,0,0,"4,499.20","7,57,276.68",May-23
52108,PINELABS,0.06,3.25,0,0,0,0,0,0,0.06,3.25,May-23
52032,Punjab National Bank Apps,1.1,177.63,0,0,0,0,0,0,1.1,177.69,May-23
52085,Punjab Sind Bank Apps,0.04,13.71,0,0,0,0,0,0,0.04,13.71,May-23
52031,RBL Bank Apps,1.06,484.53,0,0,0.18,5,0,0,1.24,489.36,May-23
52112,RBLBANK,0.01,0.06,0,0,0,0,0,0,0.01,0.06,May-23
52021,Samsung Pay,5.83,535.16,0,0,0,0,0,0,5.83,535.16,May-23
52028,slice,0.83,194.68,0,0,0,0,0,0,0.83,194.68,May-23
52042,South Indian Bank Apps,0.25,71.46,0,0,0,0,0,0,0.25,71.46,May-23
52048,Standard Chartered Bank Apps,0.15,91.48,0,0,0,0,0,0,0.15,91.48,May-23
52019,State Bank of India Apps,4.48,"1,969.72",0,0,0.01,0,0,0,4.48,"1,969.95",May-23
52055,Tamilnad Mercantile Bank Apps,0.07,14.83,0,0,0,0,0,0,0.07,14.83,May-23
52046,TataNeu,0.15,19.28,0,0,0,0,0,0,0.15,19.28,May-23
52050,UCO Bank Apps,0.36,118.26,0,0,0,0,0,0,0.36,118.26,May-23
52056,Ultracash,0.01,1.13,0,0,0,0,0,0,0.01,1.13,May-23
52034,Union Bank Apps,0.76,306.93,0,0,0,0,0,0,0.76,306.93,May-23
52095,Utkarsh Small Finance Bank Apps,0.02,6.81,0,0,0,0,0,0,0.02,6.81,May-23
52011,WhatsApp,15.98,"1,477.06",0,0,0,0,0,0,15.98,"1,477.06",May-23
52013,Yes Bank Apps,42.21,"12,934.66",0,0,0.44,72,0,0,42.65,"13,006.24",May-23
52107,Zomato,0.01,0.43,0,0,0,0,0,0,0.01,0.43,May-23
52086,Others,0.03,10.98,0,0,0,0,0,0,0.03,10.98,May-23
52014,Airtel Payments Bank Apps,9.04,640.16,0,0,0,0,0,0.06,9.04,640.22,Apr-23
52065,Allahabad Bank Apps,0.03,8.96,0,0,0,0,0,0,0.03,8.96,Apr-23
52006,Amazon Pay,53.44,"5,351.07",0,0,0,0,0,0,53.44,"5,351.07",Apr-23
52038,AU Small Finance Bank Apps,0.63,184.93,0,0,0,0,0,0,0.63,184.93,Apr-23
52005,Axis Bank Apps,9.36,"1,584.45",42.35,282.63,0.03,2.81,0,0,51.74,"1,869.89",Apr-23
52015,Bajaj Finserv,7.68,"1,053.08",0,0,0,0,0,0,7.68,"1,053.08",Apr-23
52106,Bandhan Bank Apps,0.01,1.44,0,0,0,0,0,0,0.01,1.44,Apr-23
52036,Bank of Baroda Apps,1.06,392.74,0,0,0,0,0,0,1.06,392.74,Apr-23
52047,Bank of India Apps,0.22,66.93,0,0,0,0,0,0,0.22,66.93,Apr-23
52060,Bank of Maharashtra Apps,0.06,19.83,0,0,0,0,0,0,0.06,19.83,Apr-23
52012,BHIM,23.77,"7,368.61",0,0,0,0,0,0,23.77,"7,368.61",Apr-23
52070,BPAYWALLET,0.05,9.91,0,0,0,0,0,0,0.05,9.91,Apr-23
52026,Canara Bank Apps,1.4,383.46,0,0,0,0,0,0,1.4,383.46,Apr-23
52037,Central Bank of India Apps,0.41,91.19,0,0,0,0.08,0,0,0.41,91.27,Apr-23
52057,Citi Bank Apps,0.1,58.17,0,0,0,0,0,0,0.1,58.17,Apr-23
52058,City Union Bank Apps,0.06,18.31,0,0,0,0,0,0,0.06,18.31,Apr-23
52110,Cointab,0.02,10.61,0,0,0,0,0,0,0.02,10.61,Apr-23
52004,Cred,45.7,"20,729.56",0,0,0,0,0,0,45.7,"20,729.56",Apr-23
52040,DBS Digibank Apps,0.41,173.13,0,0,0,0,0,0,0.41,173.13,Apr-23
52024,Deutsche Bank Apps,1.65,142.8,0,0,0,0.86,0,0,1.65,143.66,Apr-23
52049,DHANI,0.08,9.21,0,0,0,0,0,0,0.08,9.21,Apr-23
52101,Dhanlaxmi Bank Apps,0.01,2.8,0,0,0,0,0,0,0.01,2.8,Apr-23
52062,Equitas Small Finance Bank Apps,0.02,13.86,0,0,0,0,0,0,0.02,13.86,Apr-23
52068,FAM,11.78,146.58,0,0,0,0,0,0,11.78,146.58,Apr-23
52082,Fave,0.03,3.27,0,0,0,0,0,0,0.03,3.27,Apr-23
52025,Federal Bank Apps,5.18,624.64,0,0,0,0,0,0,5.18,624.64,Apr-23
52043,Fino Payments bank Apps,0.08,5.67,0,0,0,0,0,0,0.08,5.67,Apr-23
52002,Google Pay,"3,109.24","4,74,049.90",0,0,0,0,0,0,"3,109.24","4,74,049.90",Apr-23
52018,Groww,0.11,80.85,0,0,0,0,0,0,0.11,80.85,Apr-23
52010,HDFC Bank Apps,14.48,"3,685.33",0,0,0,16.48,0,0,14.48,"3,701.81",Apr-23
52045,HSBC Bank Apps,0.14,90.1,0,0.03,0,0,0,0,0.14,90.13,Apr-23
52007,ICICI Bank Apps,30.69,"8,941.59",5.34,323.96,5.95,"7,439.02",0,0,41.98,"16,704.57",Apr-23
52075,IDBI Bank Apps,0.07,32.02,0,0,0,0,0,0,0.07,32.02,Apr-23
52020,IDFC Bank Apps,11.96,"2,274.12",0,0,0.71,591.19,0,0,12.66,"2,865.32",Apr-23
52017,India Post Payments Bank Apps,5.24,746.48,0,0,0,0,0,0,5.24,746.48,Apr-23
52030,Indian Bank Apps,0.27,75.66,0,0,0,10.71,0,0,0.27,86.37,Apr-23
52054,Indian Overseas Bank Apps,0.03,7.76,0,0,0,0,0,0,0.03,7.76,Apr-23
52044,IndusInd Bank Apps,0.8,877.27,0,0,0,0,0,0,0.8,877.27,Apr-23
52029,Jio Payments Bank Apps,1.49,112.21,0,0,0,0,0,0,1.49,112.21,Apr-23
52022,Jupiter,2.72,380.27,0,0,0,0,0,0,2.72,380.27,Apr-23
52111,Akudo & Muvin (Livquik),0.11,4.25,0,0,0,0,0,0,0.11,4.25,Apr-23
52051,Karnataka Bank Apps,0.51,110.35,0,0,0,0,0,0,0.51,110.35,Apr-23
52061,Karur Vysya Bank Apps,0.04,14.19,0,0,0,0,0,0,0.04,14.19,Apr-23
52009,Kotak Mahindra Bank Apps,13.98,"2,845.64",0,0,0,0.01,0,0,13.98,"2,845.65",Apr-23
52063,MakeMyTrip,0.02,12.91,0,0,0,0,0,0,0.02,12.91,Apr-23
52016,Mobikwik,3.48,923.59,0,0,0,0,0,0,3.48,923.59,Apr-23
52059,NSDL Payments Bank Apps,0.02,3.42,0,0,0,0,0,0,0.02,3.42,Apr-23
52096,OMNI,0.26,6.74,0,0,0,0,0,0,0.26,6.74,Apr-23
52067,Paytm Payments Bank App,"1,184.38","1,35,343.96",8.83,14.25,0.53,793.27,105.52,"19,560.25","1,299.25","1,55,711.73",Apr-23
52001,PhonePe,"4,216.99","7,10,178.44",0,0,0,0,0,0,"4,216.99","7,10,178.44",Apr-23
52108,PINELABS,0.02,1.31,0,0,0,0,0,0,0.02,1.31,Apr-23
52032,Punjab National Bank Apps,1.03,148.27,0,0,0,0.01,0,0,1.03,148.28,Apr-23
52085,Punjab Sind Bank Apps,0.04,14.04,0,0,0,0,0,0,0.04,14.04,Apr-23
52031,RBL Bank Apps,1.56,489.63,0,0,0.1,2.7,0,0,1.66,492.33,Apr-23
52021,Samsung Pay,5.67,511.04,0,0,0,0,0,0,5.67,511.04,Apr-23
