Sr_No,Application Name,Customer Initiated Transactions in Volume (Mn),Customer Initiated Transactions in Value (Cr),B2C Transactions in Volume (Mn),B2C Transactions in Value (Cr),B2B Transactions in Volume (Mn),B2B Transactions in Value (Cr),On-us Transactions in Volume (Mn),On-us Transactions in Value (Cr),Total in Volume (Mn),Total in Value (Cr),Date
52025,Federal Bank Apps,3.78,499.96,0,0,0,0,0,0,3.78,499.96,Feb-24
52024,Deutsche Bank Apps,3.67,416.34,0,0,0,0.03,0,0,3.67,416.37,Feb-24
52026,Canara Bank Apps,2.97,784.63,0,0,0,0,0,0,2.97,784.63,Feb-24
52031,RBL Bank Apps,2.71,504.34,0,0.01,0.21,90.94,0,0,2.92,595.29,Feb-24
52028,slice,2.42,427.52,0,0,0,0,0,0,2.42,427.52,Feb-24
52069,FIFEDERAL,2.33,254.61,0,0,0,0,0,0,2.33,254.61,Feb-24
52028,SLICE,1.82,58.02,0,0,0,0,0,0,1.82,58.02,Feb-24
52029,Jio Payments Bank Apps,1.74,153.72,0,0,0,0,0,0,1.74,153.72,Feb-24
52030,Indian Bank Apps,1.67,347.07,0,0,0.01,52.73,0,0,1.67,399.8,Feb-24
52027,Navi,1.54,72.88,0,0,0,0,0,0,1.54,72.88,Feb-24
52032,Punjab National Bank Apps,1.45,381.26,0,0,0,0,0,0,1.45,381.26,Feb-24
52034,Union Bank Apps,1.27,505.68,0,0,0,0,0,0,1.27,505.68,Feb-24
52035,Omnicard,1.22,40.6,0,0,0,0,0,0,1.22,40.6,Feb-24
52036,Bank of Baroda Apps,0.78,367.55,0,0,0,11.05,0,0,0.78,378.6,Feb-24
52038,AU Small Finance Bank Apps,0.78,292.2,0,0,0,0,0,0,0.78,292.2,Feb-24
52037,Central Bank of India Apps,0.77,175.42,0,0,0,0,0,0,0.77,175.42,Feb-24
52016,Mobikwik,0.62,82.63,0,0,0,0,0,0,0.62,82.63,Feb-24
52039,Gokiwi,0.59,86,0,0,0,0,0,0,0.59,86,Feb-24
52040,DBS Digibank Apps,0.59,214.68,0,0,0,0.15,0,0,0.59,214.83,Feb-24
52070,BPAYWALLET,0.56,110.59,0,0,0,0,0,0,0.56,110.59,Feb-24
52033,Timepay,0.47,4.36,0,0,0,0,0,0,0.47,4.36,Feb-24
52051,Karnataka Bank Apps,0.43,89.84,0,0,0,0,0,0,0.43,89.84,Feb-24
52042,South Indian Bank Apps,0.38,109.78,0,0,0,0,0,0,0.38,109.78,Feb-24
52071,SHRIRAMHDFCBANK,0.38,32.53,0,0,0,0,0,0,0.38,32.53,Feb-24
52043,Fino Payments bank Apps,0.32,40.3,0,0,0,0,0,0,0.32,40.3,Feb-24
52072,INDIE - Indus Bank app,0.31,53.68,0,0,0,0,0,0,0.31,53.68,Feb-24
52047,Bank of India Apps,0.25,95.3,0,0,0,0,0,0,0.25,95.3,Feb-24
52046,TataNeu,0.21,18.24,0,0,0,0,0,0,0.21,18.24,Feb-24
52045,HSBC Bank Apps,0.21,121.24,0,0.07,0,0,0,0,0.21,121.31,Feb-24
52050,UCO Bank Apps,0.18,64.34,0,0,0,0,0,0,0.18,64.34,Feb-24
52055,Tamilnad Mercantile Bank Apps,0.12,33.87,0,0,0,0,0,0,0.12,33.87,Feb-24
52054,Indian Overseas Bank Apps,0.12,30.6,0,0,0,0,0,0,0.12,30.6,Feb-24
52053,DIGIKHATA,0.11,37.92,0,0,0,0,0,0,0.11,37.92,Feb-24
52073,Jupiter Edge (LivQuick PPI),0.1,31.1,0,0,0,0,0,0,0.1,31.1,Feb-24
52056,Ultracash,0.09,6.53,0,0,0,0,0,0,0.09,6.53,Feb-24
52058,City Union Bank Apps,0.08,26.14,0,0,0,0,0,0,0.08,26.14,Feb-24
52074,KOTAK811,0.08,7.42,0,0,0,0,0,0,0.08,7.42,Feb-24
52057,Citi Bank Apps,0.07,72.92,0,0,0,0.01,0,0,0.07,72.92,Feb-24
52075,IDBI Bank Apps,0.07,34.35,0,0,0,0,0,0,0.07,34.35,Feb-24
52049,DHANI,0.05,3.58,0,0,0,0,0,0,0.05,3.58,Feb-24
52059,NSDL Payments Bank Apps,0.05,7.04,0,0,0,0,0,0,0.05,7.04,Feb-24
52061,Karur Vysya Bank Apps,0.05,16.19,0,0,0,0,0,0,0.05,16.19,Feb-24
52060,Bank of Maharashtra Apps,0.04,8.15,0,0,0,0,0,0,0.04,8.15,Feb-24
52062,Equitas Small Finance Bank Apps,0.04,25.41,0,0,0,0,0,0,0.04,25.41,Feb-24
52063,MakeMyTrip,0.03,18.45,0,0,0,0,0,0,0.03,18.45,Feb-24
52076,FKAXIS,0.03,0.62,0,0,0,0,0,0,0.03,0.62,Feb-24
52065,Allahabad Bank Apps,0.03,6.65,0,0,0,0,0,0,0.03,6.65,Feb-24
52066,Other Apps,0.13,34.78,0,0,0,2.04,0,0,0.13,36.82,Feb-24
52077,DBDC Apps,0.87,64.24,0,0,0.11,2.84,0,0,0.98,67.07,Feb-24
52001,PhonePe,5734.54,"9,06,793.76",0,0,0,0,0,0,5734.54,"9,06,793.76",Jan-24
52002,Google Pay,4442.86,"6,35,945.58",0,0,0,0,0,0,4442.86,"6,35,945.58",Jan-24
52067,Paytm Payments Bank App,1442.41,"1,64,333.33",3.98,8.32,0.72,1291.06,122.53,"26,982.03",1569.63,"1,92,614.74",Jan-24
52004,Cred,108.86,"38,229.82",0,0,0,0,0,0,108.86,"38,229.82",Jan-24
52005,Axis Bank Apps,13.31,"2,775.63",66.84,2943.22,0.02,2.72,0,0,80.17,"5,721.57",Jan-24
52006,Amazon Pay,59.48,"6,288.95",0,0,0,0,0,0,59.48,"6,288.95",Jan-24
52007,ICICI Bank Apps,28.93,"12,995.05",4.68,527.09,7.01,10593.84,0,0,40.62,"24,115.98",Jan-24
52068,FAM,36.62,418.33,0,0,0,0,0,0,36.62,418.33,Jan-24
52010,HDFC Bank Apps,25.05,"5,458.04",5.92,17.83,0,0.08,0,0,30.98,"5,475.95",Jan-24
